,タイトル,製作年度,上映時間,製作国,ジャンル1,ジャンル2,ジャンル3,ジャンル4,平均評価,評価数,5点評価の割合,4点評価の割合,3点評価の割合,2点評価の割合,1点評価の割合,物語,配役,演出,映像,音楽,詳細url
0,君の名は。,2016年,107分,日本,青春,SF,ファンタジー,アニメ,4.12,61222,59.8,16.7,9.2,4.3,10.0,3.77589,4.06066,3.96624,4.54543,3.91437,https://movies.yahoo.co.jp/movie/355058
1,鋼の錬金術師,2017年,133分,日本,アクション,ファンタジー,アドベンチャー,ジャンル記載なし,3.96,55483,71.7,1.7,1.4,1.0,24.2,2.83961,3.02655,2.85677,3.29857,3.06779,https://movies.yahoo.co.jp/movie/359816
2,シン・ゴジラ,2016年,120分,日本,SF,特撮,ジャンル記載なし,ジャンル記載なし,4.08,41514,59.1,17.3,7.8,4.1,11.6,3.47854,3.51035,3.63133,3.84803,3.66547,https://movies.yahoo.co.jp/movie/354182
3,この世界の片隅に,2016年,129分,日本,ドラマ,戦争,アニメ,ジャンル記載なし,3.92,29858,54.2,14.5,10.7,9.9,10.7,4.2463,4.27743,4.21989,4.26315,4.12022,https://movies.yahoo.co.jp/movie/348641
4,ボヘミアン・ラプソディ,2018年,135分,"イギリス,アメリカ",ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.51,25414,68.0,20.9,7.1,2.1,2.0,4.00486,4.43191,4.28153,4.47217,4.8474,https://movies.yahoo.co.jp/movie/364404
5,ラ・ラ・ランド,2016年,128分,アメリカ,ロマンス,ミュージカル,ジャンル記載なし,ジャンル記載なし,4.1,23993,53.9,20.0,13.9,6.7,5.5,3.1779,3.8183,3.67204,3.93984,4.04144,https://movies.yahoo.co.jp/movie/358727
6,スター・ウォーズ／フォースの覚醒,2015年,136分,アメリカ,SF,アクション,アドベンチャー,ジャンル記載なし,4.11,23670,56.3,18.8,12.0,5.6,7.4,2.85939,3.38631,3.12792,3.89442,3.52728,https://movies.yahoo.co.jp/movie/351301
7,スター・ウォーズ／最後のジェダイ,2017年,152分,アメリカ,SF,アドベンチャー,ジャンル記載なし,ジャンル記載なし,4.06,22692,58.7,14.3,11.1,6.2,9.8,2.37447,2.77742,2.60028,3.70188,3.51154,https://movies.yahoo.co.jp/movie/360445
8,銀魂,2017年,131分,日本,コメディ,アクション,ジャンル記載なし,ジャンル記載なし,2.6,18877,23.6,13.5,10.0,5.2,47.7,3.07533,3.89987,3.23111,3.07309,3.18058,https://movies.yahoo.co.jp/movie/357209
9,カメラを止めるな！,2018年,96分,日本,ホラー,コメディ,ジャンル記載なし,ジャンル記載なし,4.09,17869,53.0,23.1,11.1,4.9,7.9,3.68631,3.66216,3.8021,3.13893,2.95842,https://movies.yahoo.co.jp/movie/363764
10,劇場版「鬼滅の刃」無限列車編,2020年,117分,日本,ファンタジー,アクション,アニメ,ジャンル記載なし,4.01,17295,56.9,14.5,10.4,9.6,8.7,4.03433,4.32588,4.19543,4.52559,4.32673,https://movies.yahoo.co.jp/movie/369911
11,君の膵臓をたべたい,2017年,115分,日本,青春,ロマンス,ジャンル記載なし,ジャンル記載なし,4.06,16289,52.1,23.1,11.5,5.2,8.2,3.57398,3.92149,3.52095,3.7964,3.5996,https://movies.yahoo.co.jp/movie/358951
12,グレイテスト・ショーマン,2017年,104分,アメリカ,ミュージカル,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.28,16125,55.8,25.5,12.1,3.8,2.8,3.521,4.45796,4.30311,4.45449,4.70658,https://movies.yahoo.co.jp/movie/361326
13,天気の子,2019年,114分,日本,青春,ファンタジー,アニメ,ジャンル記載なし,3.65,16053,36.6,24.7,17.3,9.7,11.7,2.95171,3.3551,3.45873,4.5292,3.93387,https://movies.yahoo.co.jp/movie/366483
14,忍びの国,2017年,125分,日本,アクション,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,2.78,16018,33.6,9.0,6.6,3.6,47.1,3.93558,4.2976,3.76258,3.87762,3.81517,https://movies.yahoo.co.jp/movie/356895
15,映画 「聲の形」,2016年,129分,日本,ドラマ,アニメ,ジャンル記載なし,ジャンル記載なし,4.13,15948,62.6,15.2,7.0,2.9,12.3,3.62992,3.81911,3.67034,4.12765,3.59294,https://movies.yahoo.co.jp/movie/354499
16,怒り,2016年,141分,日本,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,4.0,14873,51.4,21.6,12.3,4.9,9.9,3.55626,4.43985,3.72792,3.85103,3.75553,https://movies.yahoo.co.jp/movie/356389
17,劇場版 コード・ブルー　ドクターヘリ緊急救命,2018年,127分,日本,ドラマ,サスペンス,ジャンル記載なし,ジャンル記載なし,2.77,14537,27.1,14.1,10.8,4.5,43.5,2.90191,4.05298,2.95361,3.32239,3.56511,https://movies.yahoo.co.jp/movie/362742
18,万引き家族,2018年,120分,日本,ドラマ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.08,14191,49.8,25.0,14.3,5.0,6.0,3.5059,4.35524,3.74926,3.57195,3.23994,https://movies.yahoo.co.jp/movie/363357
19,ジョーカー,2019年,122分,アメリカ,サスペンス,ドラマ,ジャンル記載なし,ジャンル記載なし,4.12,12992,49.5,27.4,13.1,5.2,4.8,3.64721,4.44665,4.03393,4.06564,3.9533,https://movies.yahoo.co.jp/movie/368253
20,パラサイト 半地下の家族,2019年,132分,韓国,サスペンス,ホラー,コメディ,ジャンル記載なし,4.05,12576,47.3,27.6,13.7,5.4,6.1,3.48446,3.95724,3.66184,3.61234,3.21683,https://movies.yahoo.co.jp/movie/368576
21,未来のミライ,2018年,98分,日本,SF,ファンタジー,アドベンチャー,アニメ,3.31,12468,12.9,48.5,11.2,11.4,16.1,2.30236,2.15244,2.55548,3.55458,3.0801,https://movies.yahoo.co.jp/movie/362741
22,キングダム,2019年,134分,日本,アクション,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.9,12376,40.6,25.3,22.0,7.4,4.7,3.99818,4.13905,3.75621,4.06978,3.90363,https://movies.yahoo.co.jp/movie/365755
23,美女と野獣,2017年,130分,アメリカ,ロマンス,ファンタジー,ミュージカル,ジャンル記載なし,4.15,12004,49.0,29.1,13.4,4.3,4.2,3.99851,4.05514,3.95746,4.39,4.39552,https://movies.yahoo.co.jp/movie/358506
24,ローグ・ワン／スター・ウォーズ・ストーリー,2016年,134分,アメリカ,SF,アドベンチャー,ジャンル記載なし,ジャンル記載なし,4.2,11764,50.8,29.0,12.8,4.4,3.1,3.9281,3.92147,3.96303,4.42671,3.80077,https://movies.yahoo.co.jp/movie/356251
25,翔んで埼玉,2018年,106分,日本,コメディ,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.17,11755,54.6,22.7,12.6,5.1,5.1,3.55648,4.25649,3.81863,3.67703,3.59343,https://movies.yahoo.co.jp/movie/365245
26,ファンタスティック・ビーストと魔法使いの旅,2016年,133分,"イギリス,アメリカ",ファンタジー,アドベンチャー,ジャンル記載なし,ジャンル記載なし,3.82,11738,39.8,27.4,17.3,5.9,9.5,3.29477,3.73345,3.61833,4.16216,3.6013,https://movies.yahoo.co.jp/movie/355757
27,マスカレード・ホテル,2018年,133分,日本,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,ジャンル記載なし,4.04,11556,45.0,28.9,16.4,4.9,4.9,3.42252,3.79917,3.27697,3.49275,3.39062,https://movies.yahoo.co.jp/movie/364876
28,マッドマックス　怒りのデス・ロード,2015年,120分,オーストラリア,アクション,SF,ジャンル記載なし,ジャンル記載なし,4.13,11443,52.0,24.5,13.1,5.2,5.2,3.41559,4.08333,4.27182,4.50609,4.0309,https://movies.yahoo.co.jp/movie/350752
29,インターステラー,2014年,169分,アメリカ,SF,ドラマ,ジャンル記載なし,ジャンル記載なし,4.22,11128,51.4,29.3,12.2,4.3,2.8,4.03949,4.19361,4.13743,4.55415,3.96357,https://movies.yahoo.co.jp/movie/349221
30,オデッセイ,2015年,142分,アメリカ,SF,アドベンチャー,ドラマ,ジャンル記載なし,3.84,11111,31.5,36.9,20.8,5.7,5.1,3.46774,3.93634,3.54119,4.06785,3.52068,https://movies.yahoo.co.jp/movie/353437
